letter,xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgey,yedge,yedgex
A,23.0,22.0,22,24,173,-0.0028901734104046606,0.041184971098265834,33.786127167630056,45.87861271676301,1.1098265895953756,200.6936416184971,-2.346820809248555,4.090909090909091,2044,3.1666666666666665,1699
B,23.0,22.0,18,24,229,-0.07059679767103352,0.010371179039301293,36.31877729257642,59.366812227074234,0.34497816593886466,13.847161572052402,-96.90393013100437,4.833333333333333,2008,3.75,2026
C,23.5,21.5,21,25,169,-0.061848408002254086,0.010532544378698248,46.81804733727811,75.70562130177515,0.5576923076923077,25.870562130177515,22.610207100591715,3.9523809523809526,1913,3.4,1948
D,23.5,22.0,19,24,206,-0.04649974450689822,0.010113268608414216,50.269417475728154,68.42718446601941,-1.4271844660194175,-1.2694174757281553,-118.20873786407768,4.7368421052631575,2080,3.2916666666666665,1789
E,23.0,22.0,18,24,196,-0.13690476190476197,0.027848639455782347,37.22959183673469,70.84183673469387,2.479591836734694,23.316326530612244,-97.09183673469387,3.888888888888889,1610,3.875,2116
F,22.0,22.0,16,24,140,-0.2098214285714286,-0.10952380952380958,33.614285714285714,55.5,-3.2214285714285715,-47.464285714285715,-158.60714285714286,4.375,1610,3.0833333333333335,1634
G,24.0,21.5,22,25,212,0.012006861063464895,0.020943396226415133,53.84905660377358,66.50471698113208,5.518867924528302,67.97169811320755,62.35849056603774,3.9545454545454546,1999,3.76,2220
H,23.5,22.0,19,24,190,-0.023545706371191057,-0.011184210526315722,54.65,42.15263157894737,-0.49736842105263157,-8.625,-13.49736842105263,4.842105263157895,2113,2.7083333333333335,1460
I,16.0,22.0,2,24,75,0.0,0.0,0.6666666666666666,52.0,0.0,0.0,0.0,35.0,1610,2.0,1038
J,18.5,22.0,13,24,106,0.2155297532656023,0.11674528301886793,24.13679245283019,64.68867924528301,-9.806603773584905,14.51179245283019,109.74056603773585,5.769230769230769,1685,2.4583333333333335,1249
K,23.5,22.0,19,24,183,-0.11806154731090016,-0.0018214936247722413,41.35382513661202,49.53005464480874,3.278688524590164,23.989071038251367,-33.23497267759563,5.0,2185,3.0833333333333335,1712
L,21.0,22.0,14,24,111,-0.25482625482625487,0.14864864864864868,29.36936936936937,74.5945945945946,5.351351351351352,50.54054054054054,-151.6216216216216,5.0,1610,2.5,1305
M,25.5,22.0,23,24,270,-0.008212560386473477,-0.009722222222222262,72.56111111111112,50.233333333333334,-0.2833333333333333,-73.91018518518518,-11.412962962962963,5.739130434782608,2986,2.875,1602
